 n n*n      sqrt(n)
-- --- -----------------
 1   1 1.000000000000000
 2   4 1.414213562373095
 3   9 1.732050807568877
 4  16 2.000000000000000
 5  25 2.236067977499790
 6  36 2.449489742783178
 7  49 2.645751311064591
 8  64 2.828427124746190
 9  81 3.000000000000000
10 100 3.162277660168380
 n     sin(n)     cos(n)  
--     ------     ------
 1     0.8415     0.5403
 2     0.9093    -0.4161
 3     0.1411    -0.9900
 4    -0.7568    -0.6536
 5    -0.9589     0.2837
 6    -0.2794     0.9602
 7     0.6570     0.7539
 8     0.9894    -0.1455
 9     0.4121    -0.9111
10    -0.5440    -0.8391
11    -1.0000     0.0044
12    -0.5366     0.8439
13     0.4202     0.9074
14     0.9906     0.1367
15     0.6503    -0.7597
16    -0.2879    -0.9577
17    -0.9614    -0.2752
18    -0.7510     0.6603
19     0.1499     0.9887
20     0.9129     0.4081
21     0.8367    -0.5477
22    -0.0089    -1.0000
23    -0.8462    -0.5328
24    -0.9056     0.4242
25    -0.1324     0.9912
26     0.7626     0.6469
27     0.9564    -0.2921
28     0.2709    -0.9626
29    -0.6636    -0.7481
30    -0.9880     0.1543
31    -0.4040     0.9147
32     0.5514     0.8342
33     0.9999    -0.0133
34     0.5291    -0.8486
35    -0.4282    -0.9037
36    -0.9918    -0.1280
37    -0.6435     0.7654
38     0.2964     0.9551
39     0.9638     0.2666
40     0.7451    -0.6669
41    -0.1586    -0.9873
42    -0.9165    -0.4000
43    -0.8318     0.5551
44     0.0177     0.9998
45     0.8509     0.5253
46     0.9018    -0.4322
47     0.1236    -0.9923
48    -0.7683    -0.6401
49    -0.9538     0.3006
50    -0.2624     0.9650
51     0.6702     0.7422
52     0.9866    -0.1630
53     0.3959    -0.9183
54    -0.5588    -0.8293
55    -0.9998     0.0221
56    -0.5216     0.8532
57     0.4362     0.8999
58     0.9929     0.1192
59     0.6367    -0.7711
60    -0.3048    -0.9524
61    -0.9661    -0.2581
62    -0.7392     0.6735
63     0.1674     0.9859
64     0.9200     0.3919
65     0.8268    -0.5625
66    -0.0266    -0.9996
67    -0.8555    -0.5178
68    -0.8979     0.4401
69    -0.1148     0.9934
70     0.7739     0.6333
71     0.9511    -0.3090
72     0.2538    -0.9673
73    -0.6768    -0.7362
74    -0.9851     0.1717
75    -0.3878     0.9218
76     0.5661     0.8243
77     0.9995    -0.0310
78     0.5140    -0.8578
79    -0.4441    -0.8960
80    -0.9939    -0.1104
81    -0.6299     0.7767
82     0.3132     0.9497
83     0.9684     0.2495
84     0.7332    -0.6800
85    -0.1761    -0.9844
86    -0.9235    -0.3837
87    -0.8218     0.5698
88     0.0354     0.9994
89     0.8601     0.5102
90     0.8940    -0.4481
