    + --- ---------------- --------- +
    |                greedy recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 2.723e-05 |
  2 |   2                3 4.682e-06 |
  3 |   3                5 4.211e-06 |
  4 |   3                8 4.344e-06 |
  5 |   4               13 4.646e-06 |
  6 |   4               22 4.993e-06 |
  7 |   5               36 5.315e-06 |
  8 |   5               60 5.949e-06 |
  9 |   5              100 7.316e-06 |
 10 |   6              167 9.708e-06 |
 11 |   6              279 5.614e-06 |
 12 |   6              465 4.026e-06 |
 13 |   7              777 5.821e-06 |
 14 |   7             1297 9.210e-06 |
 15 |   7             2165 1.474e-05 |
 16 |   7             3614 4.222e-05 |
 17 |   8             6031 6.995e-05 |
 18 |   8            10065 1.081e-04 |
 19 |   8            16795 1.996e-04 |
 20 |   8            28024 2.147e-04 |
 21 |   9            46758 3.114e-04 |
 22 |   9            77974 5.336e-04 |
 23 |   9           129267 8.341e-04 |
 24 |   9           214833 1.479e-03 |
 25 |   9           357571 2.236e-03 |
 26 |  10           594903 3.732e-03 |
 27 |  10           990813 6.541e-03 |
 28 |  10          1650480 1.025e-02 |
 29 |  11          2749358 1.693e-02 |
 30 |  11          4580915 2.802e-02 |
 31 |  11          7632369 4.942e-02 |
 32 |  12         12717259 8.502e-02 |
 33 |  12         21190372 1.367e-01 |
 34 |  12         35308605 2.215e-01 |
 35 |  13         58834509 4.173e-01 |
 36 |  13         98035312 6.592e-01 |
 37 |  13        163355685 1.056e+00 |
 38 |  14        272199642 1.772e+00 |
 39 |  14        453565758 2.951e+00 |
 40 |  14        755777168 4.658e+00 |
 41 |  15       1265839443 7.872e+00 |
 42 |  15       2115757265 1.306e+01 |
 43 |  15       3531977000 2.158e+01 |
 44 |  16       5898312952 3.915e+01 |
 45 |  16       9847831183 6.164e+01 |
 46 |  16      16435407033 1.026e+02 |
 47 |  16      27425271110 1.741e+02 |
 48 |  17      43644715829 2.799e+02 |
 49 |  17      70697156059 4.494e+02 |
 50 |  17     113969041008 7.202e+02 |
